tract_geoid,total_jobs,jobs_retail,jobs_healthcare,jobs_education,jobs_construction
24009860502,155,27,28,0,26
24009860600,771,72,139,55,258
24009860701,3057,772,233,54,400
24009860702,5353,246,122,1031,30
24009860703,486,82,31,5,128
24009860801,493,16,21,148,79
24009860901,1596,189,67,176,33
24009860902,74,0,7,0,34
24009861003,601,116,23,85,15
24009861004,55,0,3,1,26
24009861100,1861,144,61,105,126
24011955000,141,27,0,0,19
24011955100,603,68,8,168,161
24011955201,1377,64,17,604,39
24011955202,182,36,7,1,27
24011955301,1313,330,8,1,222
24011955302,1877,154,53,411,103
24011955400,292,22,58,101,21
24011955500,902,84,23,52,24
24011955600,2191,413,3,61,250
24013501001,500,152,17,0,55
24013501002,2016,234,27,122,45
24013502000,568,17,26,186,130
24013503000,401,20,23,0,124
24013504100,1438,38,66,120,562
24013504201,922,205,33,66,144
24013504202,642,37,28,60,221
24013505101,833,88,38,178,283
24013505102,3033,967,139,96,166
24013505203,1951,91,493,13,67
24013505205,133,10,15,1,0
24013505206,768,21,95,22,14
24013505207,1938,490,64,126,29
24013505208,1029,27,116,74,116
24013506101,547,155,19,24,89
24013506102,280,38,28,0,49
24013506200,1240,57,30,291,497
24013507500,3131,255,143,763,221
24013507601,5262,940,254,275,184
24013507602,7177,1695,353,1301,174
24013507702,1268,12,74,0,157
24013507703,638,0,12,0,39
24013507704,294,5,14,67,8
24013507801,3183,52,122,121,22
24013507802,1825,17,59,834,38
24013508103,1528,252,48,66,286
24013508200,2445,657,75,138,378
24013509001,705,42,20,85,154
24013509002,310,50,63,0,51
24013510000,384,21,6,0,20
24013511000,565,64,16,28,85
24013512000,575,25,4,62,159
24013513001,2489,496,235,145,208
24013513002,1916,488,73,40,344
24013514100,1876,39,204,289,481
24013514201,1022,23,90,3,354
24013514202,369,14,176,6,42
24015030100,1304,51,8,29,40
24015030200,1457,39,6,98,62
24015030400,4554,163,112,879,79
24015030501,624,24,16,107,27
24015030503,2974,249,14,263,86
24015030505,1892,591,32,46,32
24015030507,185,99,5,0,4
24015030508,1123,444,23,51,20
24015030601,802,49,20,83,33
24015030602,672,22,11,0,24
24015030700,533,69,20,83,47
24015030903,1851,245,46,227,333
24015030904,505,19,26,162,40
24015030905,825,5,6,543,27
