w_geocode,C000,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,SE01,SE02,SE03,tract_geoid,fips_code
240010010002003,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,1,12,24001001000,24001
240010010002004,108,0,0,0,0,1,0,22,0,19,0,3,0,0,0,0,63,0,0,0,0,50,44,14,24001001000,24001
240010010002005,9,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,24001001000,24001
240010010002007,33,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,11,0,0,0,0,13,16,4,24001001000,24001
240010010002008,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,9,54,13,24001001000,24001
240010010002013,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,0,0,9,7,1,24001001000,24001
240010010002014,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,20,69,18,24001001000,24001
240010010002015,10,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,24001001000,24001
240010010002017,32,0,0,0,0,0,0,18,0,0,3,11,0,0,0,0,0,0,0,0,0,6,9,17,24001001000,24001
240010010002018,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24001001000,24001
240010010002019,57,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,3,0,0,0,0,5,31,21,24001001000,24001
240010010002020,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,5,0,9,31,16,24001001000,24001
240010010002021,94,0,0,0,10,16,0,0,0,0,0,0,0,0,0,0,62,0,6,0,0,19,33,42,24001001000,24001
240010010002022,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,5,4,0,24001001000,24001
240010010002023,39,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,24,0,0,0,0,13,18,8,24001001000,24001
240010010002024,28,0,0,0,0,0,0,20,0,0,5,3,0,0,0,0,0,0,0,0,0,4,15,9,24001001000,24001
240010010002025,104,0,0,0,0,0,0,21,0,0,3,0,0,0,2,0,1,0,67,5,5,51,39,14,24001001000,24001
240010010002026,179,0,0,0,0,0,0,9,0,0,148,0,0,0,0,0,22,0,0,0,0,16,101,62,24001001000,24001
240010010002027,635,0,0,0,0,13,0,0,2,0,12,0,17,0,3,0,122,0,24,3,439,89,226,320,24001001000,24001
240010010002028,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,13,4,24001001000,24001
240010010002029,153,0,0,0,0,0,0,0,0,0,3,0,19,95,20,0,7,0,0,0,9,5,31,117,24001001000,24001
240010010002030,75,0,0,0,0,0,0,1,0,14,0,0,1,0,0,0,1,0,25,33,0,34,16,25,24001001000,24001
240010010002031,72,0,0,0,0,0,0,0,7,0,4,0,40,0,0,0,12,0,0,9,0,20,15,37,24001001000,24001
240010010002032,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,4,24001001000,24001
240010010002033,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24001001000,24001
240010010002034,186,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,183,0,0,0,0,41,30,115,24001001000,24001
240010010002035,58,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,42,0,0,26,26,6,24001001000,24001
240010010002038,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,22,9,0,24001001000,24001
240010010002039,40,0,0,0,0,5,0,0,4,0,0,3,27,0,0,0,1,0,0,0,0,12,11,17,24001001000,24001
240010010002040,23,0,0,0,0,0,0,0,0,0,6,0,8,0,0,2,0,0,0,7,0,4,5,14,24001001000,24001
240010010002041,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,24001001000,24001
240010010002042,193,0,0,0,0,0,0,0,4,186,0,0,0,0,3,0,0,0,0,0,0,12,85,96,24001001000,24001
240010010002043,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,17,0,5,18,24001001000,24001
240010011001000,45,0,0,0,13,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,5,20,20,24001001100,24001
240010011001014,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,24001001100,24001
240010011001016,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,24001001100,24001
240010011001020,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,11,14,36,24001001100,24001
240010011001022,37,0,0,0,0,17,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,4,32,24001001100,24001
240010011002000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24001001100,24001
240010011002002,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,6,2,5,24001001100,24001
240010011002005,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,5,13,3,24001001100,24001
240010011002006,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,6,19,40,24001001100,24001
240010011002007,51,0,0,0,0,0,0,44,0,0,0,0,3,0,0,0,0,0,0,0,4,12,23,16,24001001100,24001
