tract_geoid,fips_code,population,working_age_pop,labor_force_participation
24013504100,24013,4963,2172,0.9881918819188192
24013504201,24013,5668,2573,1.0
24013504202,24013,6833,3049,0.9907776669990029
24013505101,24013,3850,1750,0.9750360057609218
24013505102,24013,5728,2834,0.983451536643026
24013505203,24013,3951,2212,0.98779296875
24013505205,24013,3235,1696,0.9952755905511811
24013505206,24013,3052,1338,0.9951070336391438
24013505207,24013,3649,1834,0.9958467928011075
24013505208,24013,4825,2005,1.0
24013506101,24013,5411,2269,1.0
24013506102,24013,4654,1910,1.0
24013506200,24013,5718,2630,1.0
24013507500,24013,5090,1745,1.0
24013507601,24013,4495,2294,0.9875904860392968
24013507602,24013,4616,1980,1.0
24013507702,24013,3961,1773,0.987438313144908
24013507703,24013,3554,1277,0.9846153846153847
24013507704,24013,6364,3156,0.9932846715328467
24013507801,24013,6682,3013,1.0
24013507802,24013,4791,1884,1.0
24013508103,24013,8132,3794,0.9969703527375027
24013508200,24013,6531,3262,1.0
24013509001,24013,4920,2359,0.9957035445757251
24013509002,24013,2629,1218,1.0
24013510000,24013,1386,589,1.0
24013511000,24013,3867,1613,1.0
24013512000,24013,1584,704,1.0
24013513001,24013,5221,2320,0.9970381340244354
24013513002,24013,5605,2818,0.9951189749847468
24013514100,24013,3550,1625,1.0
24013514201,24013,5281,2275,0.9858965748824715
24013514202,24013,3467,1553,1.0
24015030100,24015,5156,2120,1.0
24015030200,24015,4982,2087,1.0
24015030400,24015,4923,2275,1.0
24015030501,24015,4310,1855,1.0
24015030503,24015,5615,2603,1.0
24015030505,24015,3646,1956,0.9948717948717949
24015030507,24015,4279,1990,0.9890302764370338
24015030508,24015,5008,2355,1.0
24015030601,24015,4004,1668,1.0
24015030602,24015,5188,2509,1.0
24015030700,24015,5143,2258,1.0
24015030903,24015,5588,2448,0.989788972089857
24015030904,24015,8650,3672,1.0
24015030905,24015,2668,1243,0.9907407407407407
24015030907,24015,4309,2310,0.9924977934686673
24015030908,24015,5917,2824,1.0
24015031201,24015,5633,2535,1.0
24015031202,24015,5196,2419,1.0
24015031301,24015,3110,1347,0.9956763434218654
24015031302,24015,6604,2797,1.0
24015031400,24015,3947,1716,1.0
24017850101,24017,6807,3378,1.0
24017850102,24017,2361,1045,0.987012987012987
24017850201,24017,798,367,0.683991683991684
24017850202,24017,4834,2355,0.9920067311737484
24017850300,24017,1850,646,0.9917743830787309
24017850400,24017,3298,1495,0.944336569579288
24017850500,24017,3097,1265,0.9726775956284153
24017850600,24017,5301,2416,0.9859733150872392
24017850706,24017,5721,3008,0.9841008771929824
24017850708,24017,5764,2805,0.9834780173620834
24017850709,24017,7090,3582,0.9847980997624703
24017850710,24017,5957,3299,0.9602571595558154
24017850711,24017,5253,2625,0.9920194309507286
24017850712,24017,5127,2478,0.9856985698569857
24017850713,24017,9739,4793,0.9883907125700561
24017850801,24017,4742,1876,0.9836477987421384
24017850802,24017,6028,2912,0.9912690988462738
24017850901,24017,5781,2912,0.978274363749224
24017850902,24017,5607,2607,0.9671971419291978
24017850904,24017,12735,6501,0.950941394855476
24017850905,24017,3615,1918,0.9946498054474708
24017850906,24017,5129,2563,0.9847328244274809
24017851001,24017,4018,1814,0.9605970149253731
24017851003,24017,4307,2056,0.987239472564866
24017851004,24017,5269,2528,0.9676560121765602
24017851100,24017,3030,1586,1.0
24017851200,24017,4913,2349,1.0
24017851301,24017,5794,2326,0.9954032595068951
24017851302,24017,4397,2153,1.0
24017851401,24017,3112,1600,0.9835487661574618
24017851402,24017,3650,1503,0.9900783289817232
24017851403,24017,1778,732,0.9306829765545361
24017851501,24017,3763,1998,0.9740477187107577
24017851502,24017,6370,3024,0.9787234042553191
24017990000,24017,0,0,0.0
24019970100,24019,3177,1577,1.0
24019970200,24019,5418,2343,0.9978378378378379
24019970300,24019,4494,1783,1.0
24019970400,24019,3453,1410,1.0
24019970500,24019,3849,1333,1.0
24019970600,24019,5212,2458,1.0
24019970702,24019,3972,1777,1.0
24019970804,24019,1911,737,1.0
24019970900,24019,1071,392,1.0
24019990000,24019,0,0,0.0
24021740200,24021,5344,2402,0.9917053749170538
24021750100,24021,1622,926,0.9919210053859964
24021750200,24021,1960,1000,1.0
24021750300,24021,1789,1042,1.0
24021750504,24021,5818,2486,1.0
24021750505,24021,7662,4106,1.0
24021750506,24021,4305,1923,1.0
24021750507,24021,4041,2082,1.0
24021750508,24021,3921,2124,1.0
24021750600,24021,2722,995,1.0
24021750701,24021,6015,3315,0.9975773889636609
24021750702,24021,4413,2291,1.0
24021750801,24021,3204,1809,1.0
24021750802,24021,6270,2665,0.9756934515298827
24021750804,24021,2558,1364,1.0
24021750805,24021,4581,2502,0.9928083423229054
24021751001,24021,1852,899,1.0
24021751002,24021,5761,2863,0.9876246132691646
24021751003,24021,5710,2835,1.0
24021751004,24021,5300,2770,0.9950693374422188
